Item_id,Name,Details,Value
P22,"Forever refining gel mask (ညပေါင်းတင်) ","ရှားစောင်း, သလဲသီး, နွယ်ချိုမြစ်, ကိုရီးယားဝါး, ဘယ်ရီသီး, မုန်လာဥနီ တို့ပါဝင်သောကြောင့် မျက်နှာပေါ်ရှိ အဆိပ်အတောက်များ ကင်းဝေးစေပြီး အဖုအပိမ့်, ဝက်ခြံ, အဆီပြန်ခြင်းတို့ကို ကင်းဝေးစေပါသည်. ","60000ks "
P23,"Aloe Deep Moisturizing Cream (အသားရည်စိုစွတ်) ","အသားအရည်ကြမ်းတမ်းပြီး ခြောက်သွေ့သောသူများအတွက် အသားအရည်ခြောက်သွေ့ကြမ်းတမ်းခြင်း, ကော်လဂျင်ဓါတ်ကိုပြန်လည်နိူးဆော်ပေးခြင်း, မျက်နှာ အရေးကြောင်းဖြစ်ခြင်းတို့မှ ကာကွယ်ပေးပြီး skinအသားရည်ကိုတုန်တုန်အိအိဖြစ်စေပါသည်. ","89000ks "
P24,Forever Immu (Immublend),"တရုတ်လူမျိုးများ ရှေးယခင်က သုံးဆွဲခဲ့သော ရှီတကဲ မှို ပါဝင်၍ အလိုလိုနေရင်း ပင်ပန်းနွမ်းနယ်သူများ, ကိုယ်ခံအားမကောင်း၍အားနည်းနေသူများ, မကြာခဏ ဖျားနာတတ်သူများ, အစာချေဖျက်မှုဆိုင်ရာ လမ်းကြောင်းတွင်ပြသနာရှိသူများဖို့ အထူးတင့်တော်ပါသည်. ",68000ks
P25,"Forever Aloe Scrub (ဂျီးချွတ်) ","ချွေးပေါက်ကျယ်, အဆီဖု, ဝက်ခြံ, တင်းတိတ်, အသားအရေမညီညာခြင်း, ခြောက်သွေ့ခြင်း, ကျောကုန်းအဆီဖုများ အတွက် 2 မိနစ်ခန့် ညှင်သာစွာ ပွတ်ပေး လိုက်ရုံဖြင့် dead cell များကို ဖယ်ရှားပေးနိုင်ပါသည်. ","55000ks "
P26,"Forever Vita MultiVitamins (ကလေးအားဆေး) ","အော်ဂဲနစ်ဓါတ်ပါရှိ၍ ကလေးငယ်များအတွက် လိုအပ်သော ဗီတာမင်ဓါတ်များသာမက ဥာဏ်ရည်ပိုင်းဆိုင်ရာ, ကိုယ်ကာယဖွံ့ဖြိုးမှုများအတွက်ပါ အထူးကောင်းမွန်စေပါသည်. ",55000ks
P27,"Forever Bright Toothgel (သွားတိုက်ဆေး) ","ခံတွင်းနံ့ဆိုးခြင်း, သွားများဝါထိန်းခြင်း, သွား ပိုးစားခြင်း, သွားနာ, သွားကိုက်, သွားဖုံးယောင်, သွားကျင်ခြင်းတို့ကိုပျောက်ကင်းစေနိုင်ပါသည်. ","23000ks "
P28,"Aloe ever-shield (ရှားစောင်းဂျိုင်းလိမ်း) ","ရှားစောင်းလက်ပတ် ဂျိုင်းလိမ်းအမွှေးခဲသည် ဂျိုင်းချွေးနံ့ထွက်ခြင်းမှ ကာကွယ်ပေးပါသည်. ","23000ks "
P29,"Aloe Propolis Créam (အမာရွတ်, တင်းတိတ်) ","မျက်နှာပေါ်ရှိ အမဲစက်, ဝက်ခြံ, တင်းတိတ်, အဆီပြန်ခြင်း, အိုမင်းရင့်ရော်ခြင်း, အသားအရေခြောက်သွေ့ခြင်း, ဆဲလ်အသေ, အမာရွတ်တို့အတွက် အသုံးပြုနိုင်ပါသည်. ","55000ks "
P30,"Forever Alpha-E Factor (အရေးကြောင်း မျက်နှာ စိုတင်းဆီ) ","မျက်နှာ အရေးကြောင်းသမားများသာမက အသားအရေမွဲခြောက် ညစ်နွမ်း နေတဲ့သူတွေအတွက် ပျောက်ကင်းစေရုံသာမက အသားအရေပါ glow စေပါသည်. ","85000ks "
P31,"SK-ll Cleanser ",,0ks အတက်အကျရှိ
P32,"SK-ll Toner ",,0ks အတက်အကျရှိ
P33,"SK-ll Essence ",,0ks အတက်အကျရှိ
P34,"SK-ll Anti-Aging Moisturiser ",,0ks အတက်အကျရှိ
P35,"Forever Absorbent-C (ကွေကာ ဗီတာမင်စီ) ",,"66000ks "
P36,"Forever Fields of Greens (သက်သက်လွတ် ဓါတ်စာ) ","အသားဓါတ်များ၍ အသီးအရွက်ဓါတ်တွေနည်းနေပြီဆိုပါက ဤ အားဖြည့်စွက်စာကို သုံးစွဲလိုက်ပါ. အဆိပ်အတောက်များကိုဖယ်ရှားပေးတဲ့အပြင် သွေးလည်ပတ်မှုစနစ်ကိုပါကောင်းမွန်စေပါသည်. ","66000ks "
P37,"Forever Lean (ဆီးချိုအဆီချ) ","Side effect မပါ အဆီချဆေးလေး လိုအပ်နေပြီဆိုရင် Calorie Killer(ကယ်လ်လိုရီသတ်သမား) ဖြစ်တဲ့ဤ ဆေးလေးကိုလိုအပ်နေပါပြီ. သွေးတွင်းသကြားဓါတ်မြင့်မားသူများ, ဆီးချိုသမားများ ပါ သုံးဆွဲလို့ရပါသည်. ","125000ks "
P38,"Forever Lycium Plus (မျက်စိ/အသည်းအားဆေး) ","အရက်သောက်၍ အသည်းမကောင်းတဲ့ သူတွေ, မျက်စိနှင့်ပတ်သတ်သော ဝေဒနာများ, အသားအရေနဲ့ပတ်သတ်သော ပြသနာများ, ဆီးချို, သွေးချိုဝေဒနာရှင်များ, ညဘက်စိတ်ဖိစည်းမှုကြောင့်အိပ်မပျော်သူများအတွက် အလွန်သင့်လျော်ပါသည်. ","89000ks "
P39,"Forever Active Pro-B (အူမကြီးအားဆေး) ","အူမကြီး နှင့် အူလမ်းကြောင်း ဆိုင်ရာအညစ်အကြေးများကို ရှင်းလင်းစေပါသည်. အူမကြီးကင်ဆာဖြစ်နိုင်ခြင်းမှလည်းကင်းဝေးစေပါ၍ ဗိုက်သားကိုပါချပ်စေပါသည်. ","125000ks "
P40,"Forever iVision (မျက်စိအားဆေး)  ","မျက်စိမှုန်, မျက်ရည်ပူကျခြင်း, မျက်စိညောင်းညာခြင်း, မျက်စိနာခြင်း, မျက်ရိုးကိုက်ခြင်း တို့အတွက်သင့်လျော်ပါသည်. မျက်လုံးကျန်းမာရေး အတွက် ဆရာ မလို ဆေးလေးပါ. ","89000ks "
P41,"Forever infinite firming complex (ကော်လဂျင်) ",,"95000ks "
P42,"Forever Focus (ဦးနှောက်အားဆေး) ","Depression ဝင်နေသူများ, စိတ်မကြည်မလင်ဖြစ်နေသူများ, အချိန်တိုင်းစိတ်အလိုမကျရှိသူများ, စိတ်ဖိစီးမှုများသူတွေအတွက် မရှိမဖြစ်လေးဖြစ်ပါသည်. ","139000ks "
P43,"Forever Move (အရိုး, အဆစ်, အကြော) ",,"235000ks "
P44,"Aloe Heat Lotion (ကိုက်ခဲနာကျင်) ","အကြောများ, ကြွက်သားများနာခြင်း, ခါးနာကိုက်ခြင်း, ခေါင်းကိုက်မူးခြင်း, ထိခိုက်ရှနာ, ယားနာခြင်း, ရာသီလာ၍ နာကျင်ကိုက်ခဲခြင်းများအတွက်ပါ အသုံးပြုနိုင်ပါသည်. ","170000ks "
P45,"Aloe Jojoba Shampoo (ခေါင်းလျှော်ရည်) ",,"46000ks "
P46,"Aloe Jojoba Conditioner (ဆံသားဖြည့်တင်း) ",,55000ks
P49,"Forever Liquid Soap (မျက်နှာသစ်) ",,"55000k "
P50,"Forever Aloe MPD 2x Ultra Detergent (အထွေထွေသုံး ဆပ်ပြာ) ",,"55000ks "
P51,"Forever Aloe Activator (မျက်နှာသန့်စင်) ","မျက်နှာပေါ်ရှိ အညစ်အကြေးများကို အတွင်းပိုင်းထိ သန့်စင် ပေးရုံသာမက ချွေးပေါက်ကျယ်ခြင်း, အဆီပြန်ခြင်း, အမဲစက်, ဝက်ခြံ, အသားအရည်ညစ်နွမ်းခြင်းတို့အတွက်လည်း အထူးကောင်းမွန်ပါသည်. ","78000ks "
P52,Forever Balancing Toner (တိုနာရည်),"မျက်နှာ အသားအရေကို 24 နာရီ အစိုဓါတ်ထိန်းပေးခြင်း, နေလောင်ဒဏ်ကြောင့်ဖြစ်ပေါ်သော အမဲစက်တို့ကိုပျောက်ကင်းစေခြင်း, အဆီပြန်ခြင်း, မျက်နှာအသားအရေညီညာစေခြင်း, နူးညံ့ချောမွေ့စေခြင်း, ချွေးပေါက်ကျဥ်းစေခြင်း စသည့် အကျိုးကျေးဇူးများရရှိစေပါသည်. ","55000ks "
P53,"Forever Eye Cream ",,55000ks
P54,"Forever Refreshing Gel Cleanser (မျက်နှာသစ်) ","ဤ ဂျယ်ကိုအသုံးပြုပါက မိတ်ကပ်လိမ်းရာမှ ကျန်ခဲ့သော အညစ်အကြေးများ, ဖုန်မှုန့်များကို အရေပြား အတွင်းပိုင်းအထိ တစ်လွှာချင်းသန့်စင်ပေးကာ ကြည်လင်ဝင်းပစေပါသည်. ","50000ks "
P55,"Forever infinite hydrating cleanser (မျက်နှာသစ်) ","မျက်နှာ မည်းညစ်ခြင်း, မျက်နှာပေါ်ရှိ ဖုန်မှုန့်, အညစ်အကြေးများကို အတွင်းပိုင်းထိ သန့်စင်ပေးသည့်အပြင် ရေဓါတ်ကိုပါ ပြန်လည်ဖြည့်တင်းပေးပါသည်. ",60000ks
P56,"Forever Infinite firming serum ","အရေးအကြောင်းနည်းပါးကာ မျက်နှာလေးကို လူငယ် တစ်ယောက်လို့ ဖြစ်စေပြီး collagen ထုတ်လုပ်မှုကို တိုးမြှင့်ပေးပါသည်. ","86000ks "
P57,"Forever infinite restoring cream (စိုဓါတ် créme) ","အသက်ကြီးသူများအတွက် မရှိမဖြစ်skin care creme လေးဖြစ်ပြီး ငယ်ရွယ်နုပျိုတဲ့ အသွင်မျိုးရလာစေမှာပါ. လိမ်းရတာလည်း နူးညံ့စေကာ စေးကပ်ခြင်းလည်းမရှိပါ. ","139000ks "
P58,"Forever Aloe Lips (နှုတ်ခမ်းဆီ) ","နှုတ်ခမ်းများ ခြောက်သွေ့ခြင်း, ကြမ်းတမ်းခြင်း, ညိုမဲခြင်း, အက်ကွဲခြင်းခြင်းတို့အတွက် အသုံးပြုနိုင်ပါသည်. 24နာရီခံပါသည်.","160000ks "
,,,15000ks
